,_id,temperatura,data_coleta,sensacao
0,5db5c54a406e8f109c7c31ab,29.559199321762684,2019-10-27 13:26:50.333,Quente
1,5db5c54b406e8f109c7c31ac,27.938756299122907,2019-10-27 13:26:51.335,Quente
2,5db5c54c406e8f109c7c31ad,26.64608430543275,2019-10-27 13:26:52.337,Quente
3,5db5c54d406e8f109c7c31ae,19.886545259106466,2019-10-27 13:26:53.340,Frio
4,5db5c54e406e8f109c7c31af,20.718806826133726,2019-10-27 13:26:54.343,Normal
5,5db5c54f406e8f109c7c31b0,21.180909111180277,2019-10-27 13:26:55.346,Normal
6,5db5c550406e8f109c7c31b1,29.9488012569332,2019-10-27 13:26:56.348,Quente
7,5db5c551406e8f109c7c31b2,15.957752477207814,2019-10-27 13:26:57.351,Frio
8,5db5c552406e8f109c7c31b3,23.558641289467573,2019-10-27 13:26:58.354,Normal
9,5db5c553406e8f109c7c31b4,19.415544284610963,2019-10-27 13:26:59.356,Frio
10,5db5c554406e8f109c7c31b5,16.456478094808624,2019-10-27 13:27:00.357,Frio
11,5db5c555406e8f109c7c31b6,24.57634950217661,2019-10-27 13:27:01.360,Normal
12,5db5c556406e8f109c7c31b7,28.799935035388096,2019-10-27 13:27:02.363,Quente
13,5db5c557406e8f109c7c31b8,26.418969506056115,2019-10-27 13:27:03.366,Quente
14,5db5c558406e8f109c7c31b9,24.905826064623703,2019-10-27 13:27:04.368,Normal
15,5db5c559406e8f109c7c31ba,29.869040631817175,2019-10-27 13:27:05.371,Quente
16,5db5c55a406e8f109c7c31bb,21.33256626001055,2019-10-27 13:27:06.374,Normal
17,5db5c55b406e8f109c7c31bc,23.890745194408247,2019-10-27 13:27:07.376,Normal
18,5db5c55c406e8f109c7c31bd,16.36814851091152,2019-10-27 13:27:08.379,Frio
19,5db5c55d406e8f109c7c31be,27.81709577540755,2019-10-27 13:27:09.381,Quente
20,5db5c55e406e8f109c7c31bf,27.57275091926951,2019-10-27 13:27:10.384,Quente
21,5db5c55f406e8f109c7c31c0,18.932040142042716,2019-10-27 13:27:11.387,Frio
22,5db5c560406e8f109c7c31c1,16.619761830309596,2019-10-27 13:27:12.390,Frio
23,5db5c561406e8f109c7c31c2,16.332128765812442,2019-10-27 13:27:13.392,Frio
24,5db5c562406e8f109c7c31c3,23.96581800157515,2019-10-27 13:27:14.393,Normal
25,5db5c563406e8f109c7c31c4,28.21173209186782,2019-10-27 13:27:15.396,Quente
26,5db5c564406e8f109c7c31c5,24.852741146964547,2019-10-27 13:27:16.398,Normal
27,5db5c565406e8f109c7c31c6,24.299072179915854,2019-10-27 13:27:17.401,Normal
28,5db5c566406e8f109c7c31c7,19.192789076536194,2019-10-27 13:27:18.404,Frio
29,5db5c567406e8f109c7c31c8,23.127213191833327,2019-10-27 13:27:19.406,Normal
30,5db5c568406e8f109c7c31c9,23.15956926229278,2019-10-27 13:27:20.409,Normal
31,5db5c569406e8f109c7c31ca,19.46113082638469,2019-10-27 13:27:21.411,Frio
32,5db5c56a406e8f109c7c31cb,26.920522900366024,2019-10-27 13:27:22.414,Quente
33,5db5c56b406e8f109c7c31cc,24.159988230775834,2019-10-27 13:27:23.417,Normal
34,5db5c56c406e8f109c7c31cd,26.755017202765686,2019-10-27 13:27:24.420,Quente
35,5db5c56d406e8f109c7c31ce,23.951411383420822,2019-10-27 13:27:25.422,Normal
36,5db5c56e406e8f109c7c31cf,29.77333899860654,2019-10-27 13:27:26.425,Quente
37,5db5c56f406e8f109c7c31d0,24.034385690144035,2019-10-27 13:27:27.428,Normal
38,5db5c570406e8f109c7c31d1,27.179047766126644,2019-10-27 13:27:28.430,Quente
39,5db5c571406e8f109c7c31d2,25.217484147016215,2019-10-27 13:27:29.433,Quente
40,5db5c572406e8f109c7c31d3,29.892605789947083,2019-10-27 13:27:30.436,Quente
41,5db5c573406e8f109c7c31d4,25.95562870833902,2019-10-27 13:27:31.438,Quente
42,5db5c574406e8f109c7c31d5,19.06028578841952,2019-10-27 13:27:32.440,Frio
43,5db5c575406e8f109c7c31d6,23.004084171658164,2019-10-27 13:27:33.443,Normal
44,5db5c576406e8f109c7c31d7,16.10947047141441,2019-10-27 13:27:34.446,Frio
45,5db5c577406e8f109c7c31d8,20.32187937838838,2019-10-27 13:27:35.449,Normal
46,5db5c578406e8f109c7c31d9,28.891843971168235,2019-10-27 13:27:36.451,Quente
47,5db5c579406e8f109c7c31da,27.79314863286581,2019-10-27 13:27:37.454,Quente
